Age,Primary streaming service,Primary_streaming_service_in_numbers,Hours_per_day_percentage,Anxiety,Depression,Insomnia,OCD,Overall_Mental_Health_out_of_100
17.0,Apple Music,4,8.333333333333332,0.0,0.0,0.0,0.0,0.0
16.0,Spotify,1,25.0,7.0,8.0,7.0,5.0,67.5
23.0,Apple Music,4,4.166666666666666,10.0,6.0,3.0,10.0,72.5
23.0,Spotify,1,50.0,3.0,7.0,5.0,5.0,50.0
22.0,Spotify,1,16.666666666666664,8.0,7.0,4.0,3.0,55.0
16.0,Apple Music,4,8.333333333333332,0.0,0.0,1.0,3.0,10.0
18.0,Spotify,1,25.0,8.0,6.0,2.0,10.0,65.0
42.0,I do not use a streaming service.,5,0.0,9.0,0.0,10.0,0.0,47.5
23.0,Spotify,1,29.166666666666668,6.0,4.0,2.0,3.0,37.5
23.0,I do not use a streaming service.,5,4.166666666666666,7.0,0.0,0.0,2.0,22.5
19.0,YouTube Music,3,4.166666666666666,10.0,1.0,0.0,0.0,27.5
22.0,Pandora,2,4.166666666666666,8.0,7.0,0.0,5.0,50.0
15.0,Other streaming service,6,8.333333333333332,3.0,2.0,6.0,7.0,45.0
25.0,Spotify,1,8.333333333333332,5.0,5.0,3.0,1.0,35.0
32.0,Spotify,1,20.833333333333336,10.0,10.0,3.0,1.0,60.0
36.0,Spotify,1,25.0,5.0,4.0,10.0,2.0,52.5
24.0,Spotify,1,12.5,0.0,0.0,8.0,0.0,20.0
29.0,Spotify,1,16.666666666666664,8.0,8.0,5.0,10.0,77.5
41.0,Apple Music,4,12.5,10.0,7.0,8.0,0.0,62.5
36.0,I do not use a streaming service.,5,8.333333333333332,7.0,3.0,1.0,1.0,30.0
19.0,YouTube Music,3,12.5,8.0,7.0,4.0,0.0,47.5
31.0,Spotify,1,8.333333333333332,10.0,2.0,0.0,5.0,42.5
16.0,Spotify,1,16.666666666666664,9.0,8.0,1.0,2.0,50.0
26.0,Spotify,1,8.333333333333332,6.0,3.0,1.0,1.0,27.5
22.0,Apple Music,4,2.083333333333333,7.0,7.0,0.0,1.0,37.5
16.0,Spotify,1,20.833333333333336,7.0,7.0,8.0,4.0,65.0
17.0,Spotify,1,20.833333333333336,4.0,1.0,0.0,0.0,12.5
19.0,Spotify,1,41.66666666666667,7.0,2.0,1.0,5.0,37.5
18.0,YouTube Music,3,8.333333333333332,9.0,0.0,5.0,10.0,60.0
18.0,YouTube Music,3,16.666666666666664,2.0,7.0,1.0,1.0,27.5
19.0,Spotify,1,20.833333333333336,10.0,8.0,7.0,0.0,62.5
19.0,Spotify,1,12.5,3.0,0.0,0.0,0.0,7.5
22.0,Spotify,1,8.333333333333332,7.0,8.0,5.0,1.0,52.5
16.0,Spotify,1,10.416666666666668,2.0,1.0,0.0,0.0,7.5
19.0,Spotify,1,12.5,5.0,4.0,0.0,1.0,25.0
37.0,Spotify,1,4.166666666666666,9.0,10.0,6.0,10.0,87.5
14.0,Spotify,1,29.166666666666668,2.0,0.0,0.0,0.0,5.0
33.0,I do not use a streaming service.,5,4.166666666666666,5.0,2.0,5.0,1.0,32.5
26.0,Spotify,1,4.166666666666666,3.0,2.0,0.0,0.0,12.5
32.0,Spotify,1,12.5,2.0,0.0,7.0,0.0,22.5
30.0,Spotify,1,20.833333333333336,7.0,6.0,6.0,2.0,52.5
43.0,I do not use a streaming service.,5,25.0,5.0,4.0,8.0,3.0,50.0
24.0,Spotify,1,16.666666666666664,4.0,6.0,5.0,3.0,45.0
36.0,YouTube Music,3,4.166666666666666,6.0,2.0,3.0,1.0,30.0
19.0,YouTube Music,3,16.666666666666664,8.0,2.0,1.0,6.0,42.5
22.0,Spotify,1,41.66666666666667,9.0,6.0,0.0,6.0,52.5
20.0,Spotify,1,12.5,0.0,3.0,7.0,0.0,25.0
31.0,Spotify,1,8.333333333333332,8.0,9.0,6.0,2.0,62.5
19.0,Spotify,1,16.666666666666664,4.0,1.0,1.0,1.0,17.5
15.0,Spotify,1,33.33333333333333,8.0,7.0,5.0,0.0,50.0
18.0,Spotify,1,8.333333333333332,3.0,4.0,6.0,1.0,35.0
25.0,I do not use a streaming service.,5,2.083333333333333,1.0,1.0,3.0,1.0,15.0
17.0,Apple Music,4,20.833333333333336,10.0,8.0,6.0,7.0,77.5
28.0,YouTube Music,3,4.166666666666666,6.0,6.0,2.0,0.0,35.0
20.0,Spotify,1,12.5,6.0,7.0,0.0,0.0,32.5
21.0,YouTube Music,3,8.333333333333332,8.0,4.0,10.0,0.0,55.0
41.0,Spotify,1,12.5,9.0,7.0,6.0,2.0,60.0
20.0,Spotify,1,8.333333333333332,7.0,4.0,6.0,5.0,55.0
34.0,Other streaming service,6,16.666666666666664,6.0,7.0,0.0,0.0,32.5
21.0,YouTube Music,3,12.5,10.0,0.0,10.0,10.0,75.0
23.0,Spotify,1,8.333333333333332,6.0,3.0,0.0,1.0,25.0
16.0,Spotify,1,12.5,7.0,5.0,5.0,3.0,50.0
19.0,YouTube Music,3,16.666666666666664,7.0,10.0,5.0,0.0,55.0
22.0,Spotify,1,8.333333333333332,8.0,6.0,0.0,0.0,35.0
19.0,Spotify,1,33.33333333333333,4.0,3.0,0.0,0.0,17.5
23.0,Spotify,1,16.666666666666664,7.0,6.0,7.0,5.0,62.5
23.0,Spotify,1,8.333333333333332,7.0,3.0,2.0,3.0,37.5
22.0,Spotify,1,4.166666666666666,2.0,7.0,5.0,0.0,35.0
17.0,Spotify,1,12.5,7.0,8.0,6.0,5.0,65.0
28.0,Spotify,1,2.083333333333333,4.0,7.0,1.0,0.0,30.0
23.0,Spotify,1,8.333333333333332,7.0,8.0,5.0,1.0,52.5
19.0,Apple Music,4,12.5,5.0,2.0,8.0,6.0,52.5
17.0,Spotify,1,8.333333333333332,10.0,7.0,4.0,2.0,57.5
21.0,YouTube Music,3,4.166666666666666,6.0,5.0,0.0,0.0,27.5
29.0,Other streaming service,6,20.833333333333336,7.0,2.0,3.0,1.0,32.5
22.0,Spotify,1,41.66666666666667,4.0,7.0,7.0,3.0,52.5
18.0,Spotify,1,16.666666666666664,4.0,5.0,6.0,5.0,50.0
13.0,Spotify,1,8.333333333333332,7.0,10.0,5.0,6.0,70.0
24.0,Spotify,1,4.166666666666666,6.0,4.0,5.0,0.0,37.5
35.0,Spotify,1,25.0,4.0,1.0,3.0,1.0,22.5
29.0,YouTube Music,3,4.166666666666666,6.0,6.0,1.0,2.0,37.5
28.0,Spotify,1,25.0,10.0,8.0,7.0,1.0,65.0
32.0,Spotify,1,29.166666666666668,10.0,8.0,2.0,8.0,70.0
32.0,Other streaming service,6,4.166666666666666,3.0,6.0,2.0,0.0,27.5
21.0,Spotify,1,12.5,8.0,9.0,2.0,0.0,47.5
18.0,Spotify,1,8.333333333333332,8.0,3.0,8.0,7.0,65.0
19.0,Spotify,1,12.5,3.0,3.0,1.0,2.0,22.5
18.0,Apple Music,4,8.333333333333332,6.0,5.0,2.0,0.0,32.5
16.0,YouTube Music,3,12.5,0.0,0.0,4.0,0.0,10.0
25.0,Spotify,1,6.25,6.0,5.0,0.0,2.0,32.5
17.0,Spotify,1,16.666666666666664,3.0,8.0,0.0,0.0,27.5
16.0,Spotify,1,8.333333333333332,1.0,8.0,0.0,0.0,22.5
27.0,Spotify,1,41.66666666666667,5.0,6.0,6.0,3.0,50.0
53.0,Spotify,1,29.166666666666668,0.0,0.0,0.0,0.0,0.0
25.0,Spotify,1,4.166666666666666,0.0,8.0,0.0,0.0,20.0
34.0,Spotify,1,8.333333333333332,3.0,7.0,0.0,0.0,25.0
22.0,Other streaming service,6,25.0,8.0,8.0,8.0,5.0,72.5
17.0,Spotify,1,8.333333333333332,5.0,2.0,3.0,4.0,35.0
26.0,Spotify,1,12.5,8.0,8.0,3.0,0.0,47.5
19.0,Spotify,1,33.33333333333333,6.0,8.0,8.0,0.0,55.0
21.0,Spotify,1,12.5,6.0,8.0,6.0,0.0,50.0
32.0,Spotify,1,12.5,6.0,6.0,7.0,5.0,60.0
21.0,I do not use a streaming service.,5,12.5,9.0,10.0,3.0,0.0,55.0
25.0,Spotify,1,8.333333333333332,7.0,7.0,5.0,0.0,47.5
26.0,Spotify,1,4.166666666666666,10.0,7.0,2.0,8.0,67.5
21.0,Spotify,1,8.333333333333332,1.0,3.0,0.0,6.0,25.0
17.0,Spotify,1,8.333333333333332,5.0,3.0,2.0,1.0,27.5
28.0,I do not use a streaming service.,5,16.666666666666664,6.0,8.0,1.0,6.0,52.5
41.0,YouTube Music,3,16.666666666666664,7.0,2.0,0.0,7.0,40.0
18.0,Spotify,1,4.166666666666666,6.0,9.0,9.0,0.0,60.0
22.0,Spotify,1,8.333333333333332,1.0,1.0,4.0,1.0,17.5
18.0,Other streaming service,6,8.333333333333332,0.0,2.0,0.0,0.0,5.0
49.0,Other streaming service,6,4.166666666666666,8.0,8.0,2.0,0.0,45.0
21.0,Spotify,1,12.5,3.0,3.0,7.0,0.0,32.5
27.0,Spotify,1,41.66666666666667,8.0,8.0,3.0,0.0,47.5
19.0,Spotify,1,4.166666666666666,6.0,4.0,0.0,3.0,32.5
27.0,Spotify,1,12.5,1.0,0.0,0.0,0.0,2.5
27.0,Spotify,1,6.25,5.0,5.0,4.0,4.0,45.0
19.0,Spotify,1,12.5,8.0,9.0,6.0,0.0,57.5
42.0,YouTube Music,3,10.416666666666668,8.0,8.0,7.0,6.0,72.5
60.0,Pandora,2,8.333333333333332,3.0,0.0,2.0,0.0,12.5
19.0,YouTube Music,3,20.833333333333336,0.0,5.0,1.0,0.0,15.0
20.0,Apple Music,4,8.333333333333332,6.0,3.0,0.0,0.0,22.5
28.0,Spotify,1,8.333333333333332,1.0,7.0,5.0,1.0,35.0
16.0,I do not use a streaming service.,5,8.333333333333332,4.0,2.0,1.0,1.0,20.0
18.0,Spotify,1,8.333333333333332,5.0,6.0,0.0,1.0,30.0
34.0,Spotify,1,4.166666666666666,1.0,0.0,0.0,0.0,2.5
18.0,YouTube Music,3,6.25,8.0,6.0,5.0,2.0,52.5
21.0,Spotify,1,20.833333333333336,9.0,4.0,0.0,3.0,40.0
38.0,Spotify,1,2.083333333333333,4.0,6.0,6.0,4.0,50.0
17.0,Spotify,1,8.333333333333332,7.0,3.0,1.0,5.0,40.0
35.0,Other streaming service,6,2.083333333333333,10.0,3.0,1.0,0.0,35.0
21.0,I do not use a streaming service.,5,8.333333333333332,8.0,8.0,3.0,0.0,47.5
25.0,Apple Music,4,10.416666666666668,7.0,6.0,5.0,4.0,55.0
18.0,Spotify,1,8.333333333333332,7.0,2.0,3.0,5.0,42.5
16.0,Apple Music,4,8.333333333333332,10.0,3.5,5.0,10.0,71.25
19.0,Spotify,1,4.166666666666666,7.0,5.0,1.0,2.0,37.5
31.0,Spotify,1,16.666666666666664,6.0,8.0,9.0,5.0,70.0
26.0,Spotify,1,20.833333333333336,2.0,9.0,2.0,1.0,35.0
16.0,Spotify,1,8.333333333333332,7.0,4.0,10.0,2.0,57.5
26.0,Spotify,1,8.333333333333332,7.0,5.0,6.0,0.0,45.0
17.0,Spotify,1,8.333333333333332,6.0,1.0,0.0,0.0,17.5
22.0,Spotify,1,4.166666666666666,3.0,6.0,1.0,1.0,27.5
20.0,Apple Music,4,16.666666666666664,9.0,10.0,3.0,0.0,55.0
30.0,Spotify,1,4.166666666666666,8.0,5.0,8.0,9.0,75.0
26.0,Other streaming service,6,16.666666666666664,8.0,7.0,7.0,3.0,62.5
19.0,Spotify,1,20.833333333333336,9.0,9.0,9.0,3.0,75.0
33.0,Spotify,1,29.166666666666668,9.0,3.0,7.0,8.0,67.5
28.0,YouTube Music,3,8.333333333333332,10.0,8.0,6.0,2.0,65.0
25.0,Spotify,1,12.5,9.0,6.0,3.0,0.0,45.0
22.0,YouTube Music,3,8.333333333333332,7.0,7.0,8.0,3.0,62.5
19.0,Spotify,1,12.5,9.0,10.0,4.0,0.0,57.5
44.0,Other streaming service,6,12.5,9.0,9.0,8.0,2.0,70.0
22.0,Spotify,1,12.5,9.0,10.0,3.0,9.0,77.5
26.0,Spotify,1,20.833333333333336,10.0,9.0,8.0,8.0,87.5
23.0,I do not use a streaming service.,5,25.0,6.0,5.0,6.0,8.0,62.5
17.0,Spotify,1,8.333333333333332,8.0,6.0,10.0,3.0,67.5
42.0,YouTube Music,3,8.333333333333332,8.0,3.0,6.0,4.0,52.5
30.0,Spotify,1,4.166666666666666,4.0,2.0,1.0,3.0,25.0
35.0,Spotify,1,4.166666666666666,2.0,1.0,1.0,1.0,12.5
20.0,Spotify,1,12.5,10.0,10.0,7.0,3.0,75.0
18.0,Spotify,1,12.5,8.0,9.0,0.0,0.0,42.5
21.0,Spotify,1,4.166666666666666,4.0,9.0,6.0,2.0,52.5
19.0,Spotify,1,25.0,4.0,2.0,0.0,0.0,15.0
37.0,Spotify,1,16.666666666666664,9.0,2.0,7.0,7.0,62.5
31.0,Spotify,1,8.333333333333332,8.0,6.0,7.0,5.0,65.0
29.0,Spotify,1,8.333333333333332,6.0,5.0,4.0,2.0,42.5
20.0,Spotify,1,12.5,8.0,5.0,2.0,3.0,45.0
36.0,I do not use a streaming service.,5,33.33333333333333,7.0,6.0,6.0,1.0,50.0
18.0,Spotify,1,12.5,10.0,2.0,0.0,0.0,30.0
18.0,Spotify,1,8.333333333333332,6.0,0.0,0.0,0.0,15.0
25.0,Spotify,1,29.166666666666668,2.0,0.0,1.0,0.0,7.5
18.0,YouTube Music,3,50.0,3.0,7.0,5.0,2.0,42.5
31.0,YouTube Music,3,37.5,9.0,0.0,2.0,0.0,27.5
17.0,Spotify,1,8.333333333333332,5.0,4.0,1.0,1.0,27.5
21.0,Spotify,1,4.166666666666666,8.0,4.0,0.0,1.0,32.5
30.0,Other streaming service,6,4.166666666666666,8.0,10.0,2.0,0.0,50.0
40.0,Apple Music,4,8.333333333333332,3.0,6.0,2.0,1.0,30.0
64.0,I do not use a streaming service.,5,16.666666666666664,4.0,4.0,2.0,1.0,27.5
14.0,Spotify,1,8.333333333333332,7.0,5.0,2.0,6.0,50.0
26.0,YouTube Music,3,25.0,3.0,2.0,0.0,0.0,12.5
35.0,Spotify,1,16.666666666666664,9.0,9.0,5.0,1.0,60.0
33.0,Other streaming service,6,4.166666666666666,3.0,10.0,4.0,1.0,45.0
30.0,Spotify,1,25.0,9.0,0.0,5.0,0.0,35.0
31.0,Spotify,1,8.333333333333332,7.0,6.0,6.0,5.0,60.0
27.0,Spotify,1,20.833333333333336,0.0,9.0,4.0,0.0,32.5
53.0,I do not use a streaming service.,5,6.25,2.0,2.0,2.0,1.0,17.5
23.0,Spotify,1,20.833333333333336,6.0,9.0,2.0,1.0,45.0
25.0,Spotify,1,8.333333333333332,6.0,4.0,1.0,0.0,27.5
16.0,Apple Music,4,16.666666666666664,8.0,9.0,4.0,0.0,52.5
18.0,Spotify,1,8.333333333333332,6.0,7.0,4.0,3.0,50.0
29.0,Spotify,1,20.833333333333336,7.0,2.0,2.0,0.0,27.5
31.0,YouTube Music,3,25.0,8.0,6.0,5.0,6.0,62.5
31.0,Spotify,1,4.166666666666666,3.0,10.0,0.0,0.0,32.5
38.0,Spotify,1,25.0,9.0,4.0,9.0,7.0,72.5
17.0,Spotify,1,16.666666666666664,7.0,9.0,2.0,8.0,65.0
25.0,Apple Music,4,8.333333333333332,10.0,3.0,1.0,4.0,45.0
20.0,Spotify,1,8.333333333333332,0.0,0.0,0.0,1.0,2.5
15.0,Spotify,1,8.333333333333332,9.0,6.0,1.0,7.0,57.5
16.0,Spotify,1,16.666666666666664,7.0,1.0,3.0,5.0,40.0
20.0,Spotify,1,8.333333333333332,9.0,7.0,5.0,7.0,70.0
23.0,Other streaming service,6,25.0,3.0,1.0,2.0,7.0,32.5
22.0,Spotify,1,12.5,6.0,6.0,8.0,0.0,50.0
15.0,I do not use a streaming service.,5,20.833333333333336,10.0,6.0,0.0,4.0,50.0
17.0,I do not use a streaming service.,5,2.083333333333333,6.0,3.0,1.0,1.0,27.5
22.0,YouTube Music,3,4.166666666666666,3.0,3.0,0.0,7.0,32.5
21.0,Spotify,1,41.66666666666667,9.0,10.0,2.0,2.0,57.5
19.0,Spotify,1,8.333333333333332,7.0,5.0,0.0,2.0,35.0
32.0,Apple Music,4,2.083333333333333,3.0,0.0,4.0,4.0,27.5
34.0,YouTube Music,3,4.166666666666666,9.0,9.0,6.0,4.0,70.0
18.0,I do not use a streaming service.,5,8.333333333333332,5.0,7.0,7.0,2.0,52.5
21.0,Spotify,1,12.5,0.0,8.0,0.0,5.0,32.5
20.0,Spotify,1,12.5,8.0,4.0,3.0,4.0,47.5
19.0,Spotify,1,8.333333333333332,7.0,2.0,0.0,7.0,40.0
25.0,I do not use a streaming service.,5,4.166666666666666,9.0,9.0,6.0,9.0,82.5
31.0,Spotify,1,33.33333333333333,5.0,7.0,5.0,4.0,52.5
21.0,Spotify,1,4.166666666666666,5.0,1.0,0.0,0.0,15.0
31.0,YouTube Music,3,4.166666666666666,4.0,1.0,3.0,0.0,20.0
20.0,YouTube Music,3,4.166666666666666,3.0,5.0,3.0,0.0,27.5
19.0,Spotify,1,20.833333333333336,2.0,2.0,0.0,6.0,25.0
19.0,Other streaming service,6,20.833333333333336,0.0,1.0,3.0,5.0,22.5
23.0,Spotify,1,16.666666666666664,7.0,8.0,6.0,2.0,57.5
24.0,I do not use a streaming service.,5,33.33333333333333,6.0,4.0,8.0,8.0,65.0
20.0,Other streaming service,6,2.9166666666666665,5.0,6.0,8.0,2.0,52.5
15.0,Spotify,1,12.5,6.0,6.0,2.0,6.0,50.0
17.0,Spotify,1,29.166666666666668,8.0,9.0,3.0,4.0,60.0
20.0,I do not use a streaming service.,5,6.25,8.0,4.0,3.0,3.0,45.0
14.0,Spotify,1,16.666666666666664,8.0,6.0,5.0,7.0,65.0
24.0,Spotify,1,16.666666666666664,8.0,8.0,7.0,7.0,75.0
14.0,Other streaming service,6,41.66666666666667,5.0,2.0,5.0,0.0,30.0
23.0,Spotify,1,8.333333333333332,6.0,8.0,4.0,2.0,50.0
28.0,Apple Music,4,8.333333333333332,7.0,5.0,2.0,1.0,37.5
22.0,Spotify,1,25.0,8.0,8.0,7.0,1.0,60.0
25.0,Spotify,1,2.083333333333333,10.0,2.0,0.0,0.0,30.0
27.0,Spotify,1,8.333333333333332,8.0,7.0,7.0,5.0,67.5
18.0,Spotify,1,20.833333333333336,8.0,8.0,8.0,6.0,75.0
17.0,Apple Music,4,12.5,8.0,10.0,9.0,2.0,72.5
23.0,Other streaming service,6,18.75,6.0,1.0,8.0,4.0,47.5
40.0,Other streaming service,6,12.5,0.0,4.0,4.0,0.0,20.0
27.0,Spotify,1,83.33333333333334,8.0,10.0,10.0,8.0,90.0
18.0,Spotify,1,4.166666666666666,3.0,2.0,0.0,1.0,15.0
16.0,Spotify,1,10.416666666666668,5.0,3.0,3.0,1.0,30.0
18.0,Spotify,1,4.166666666666666,8.0,9.0,6.0,1.0,60.0
23.0,Spotify,1,8.333333333333332,10.0,3.0,0.0,10.0,57.5
15.0,I do not use a streaming service.,5,20.833333333333336,6.0,7.0,8.0,2.0,57.5
20.0,Apple Music,4,12.5,7.0,4.0,7.0,0.0,45.0
16.0,Spotify,1,12.5,9.0,8.0,6.0,2.0,62.5
16.0,Spotify,1,2.083333333333333,8.0,0.0,0.0,0.0,20.0
20.0,Apple Music,4,33.33333333333333,8.0,9.0,2.0,5.0,60.0
33.0,Spotify,1,8.333333333333332,7.0,2.0,3.0,0.0,30.0
22.0,Spotify,1,12.5,10.0,10.0,4.0,0.0,60.0
21.0,Spotify,1,12.5,8.0,8.0,3.0,3.0,55.0
21.0,Apple Music,4,20.833333333333336,8.0,7.0,7.0,4.0,65.0
29.0,Apple Music,4,6.25,8.0,7.0,1.0,2.0,45.0
56.0,I do not use a streaming service.,5,4.166666666666666,6.0,5.0,10.0,2.0,57.5
17.0,Spotify,1,8.333333333333332,7.0,6.0,0.0,4.0,42.5
22.0,Spotify,1,4.166666666666666,7.0,4.0,0.0,0.0,27.5
26.0,Spotify,1,16.666666666666664,8.0,7.0,2.0,10.0,67.5
30.0,Spotify,1,4.166666666666666,4.0,4.0,4.0,0.0,30.0
49.0,Spotify,1,8.333333333333332,0.0,0.0,2.0,0.0,5.0
22.0,Spotify,1,8.333333333333332,6.0,4.0,0.0,1.0,27.5
32.0,Spotify,1,8.333333333333332,4.0,7.0,0.0,0.0,27.5
32.0,I do not use a streaming service.,5,4.166666666666666,8.0,4.0,3.0,0.0,37.5
22.0,YouTube Music,3,25.0,5.0,5.0,3.0,3.0,40.0
17.0,Spotify,1,8.333333333333332,0.0,8.0,0.0,0.0,20.0
21.0,Spotify,1,16.666666666666664,7.0,4.0,6.0,1.0,45.0
17.0,Spotify,1,6.25,8.0,7.0,7.0,3.0,62.5
25.0,Spotify,1,12.5,9.0,8.0,6.0,2.0,62.5
15.0,Spotify,1,16.666666666666664,8.0,6.0,4.0,0.0,45.0
13.0,Spotify,1,41.66666666666667,7.0,2.0,0.0,8.0,42.5
38.0,Spotify,1,12.5,6.0,7.0,7.0,7.0,67.5
23.0,Apple Music,4,12.5,7.0,6.0,4.0,2.0,47.5
17.0,Spotify,1,12.5,1.0,1.0,1.0,0.0,7.5
59.0,YouTube Music,3,8.333333333333332,1.0,1.0,3.0,0.0,12.5
22.0,Spotify,1,8.333333333333332,2.0,7.0,1.0,2.0,30.0
17.0,Apple Music,4,12.5,6.0,2.0,3.0,1.0,30.0
27.0,Spotify,1,8.333333333333332,7.0,7.0,3.0,2.0,47.5
23.0,Spotify,1,20.833333333333336,8.0,7.0,0.0,3.0,45.0
15.0,Spotify,1,25.0,8.0,3.0,5.0,2.0,45.0
22.0,Spotify,1,12.5,5.0,4.0,2.0,0.0,27.5
23.0,Spotify,1,20.833333333333336,7.0,10.0,10.0,1.0,70.0
19.0,Spotify,1,20.833333333333336,7.0,6.0,8.0,4.0,62.5
32.0,Spotify,1,25.0,8.0,7.0,0.0,9.0,60.0
40.0,Spotify,1,25.0,10.0,7.0,3.0,3.0,57.5
21.0,Spotify,1,12.5,6.0,5.0,5.0,3.0,47.5
21.0,Spotify,1,41.66666666666667,8.0,7.0,6.0,8.0,72.5
23.0,Spotify,1,8.333333333333332,10.0,7.0,7.0,3.0,67.5
21.0,YouTube Music,3,8.333333333333332,10.0,10.0,5.0,7.0,80.0
35.0,Spotify,1,12.5,8.0,2.0,2.0,8.0,50.0
18.0,Spotify,1,6.25,3.0,7.0,4.0,0.0,35.0
21.0,I do not use a streaming service.,5,41.66666666666667,9.0,7.0,5.0,5.0,65.0
22.0,I do not use a streaming service.,5,8.333333333333332,5.0,3.0,0.0,0.0,20.0
23.0,Spotify,1,12.5,10.0,7.0,0.0,10.0,67.5
13.0,Spotify,1,10.416666666666668,8.0,0.0,0.0,3.0,27.5
19.0,Spotify,1,12.5,6.0,0.0,3.0,0.0,22.5
33.0,YouTube Music,3,2.083333333333333,7.0,9.0,4.0,6.0,65.0
18.0,Spotify,1,66.66666666666666,3.0,2.0,5.0,6.0,40.0
17.0,YouTube Music,3,25.0,4.0,2.0,0.0,0.0,15.0
16.0,Spotify,1,12.5,4.0,2.0,0.0,0.0,15.0
18.0,YouTube Music,3,2.083333333333333,5.0,3.0,1.0,0.0,22.5
19.0,Spotify,1,20.833333333333336,4.0,2.0,2.0,1.0,22.5
15.0,YouTube Music,3,8.333333333333332,4.0,0.0,6.0,5.0,37.5
17.0,Spotify,1,8.333333333333332,7.0,6.0,3.0,1.0,42.5
25.0,Spotify,1,8.333333333333332,7.0,8.0,6.0,2.0,57.5
24.0,Other streaming service,6,6.25,3.0,4.0,1.0,1.0,22.5
23.0,Spotify,1,4.166666666666666,9.0,7.0,2.0,1.0,47.5
16.0,Spotify,1,41.66666666666667,10.0,9.0,3.0,2.0,60.0
25.0,YouTube Music,3,8.333333333333332,9.0,9.0,7.0,3.0,70.0
